PROVRES,SEXO,CAUSA,MAT,GRUPEDAD,CUENTA
62,1,I51, ,17_80 y más,1
06,1,J22,,17_80 y más,2
46,1,R96,,11_50 a 54,1
06,2,C80, ,07_30 a 34,4
38,2,I64,,17_80 y más,17
50,2,A41,,13_60 a 64,5
06,1,R06, ,16_75 a 79,3
30,1,G37,,17_80 y más,1
06,2,I12, ,11_50 a 54,1
66,1,D68,,17_80 y más,1
54,1,K74,,09_40 a 44,3
14,1,D37, ,12_55 a 59,1
82,1,B20, ,10_45 a 49,1
02,2,C71,,15_70 a 74,9
82,1,I48,,17_80 y más,20
58,1,C60,,13_60 a 64,1
02,2,A49,,13_60 a 64,1
82,1,I47, ,17_80 y más,1
26,1,B22,,12_55 a 59,1
82,1,M89,,14_65 a 69,1
06,1,C41,,02_1 a 9,1
66,1,E14,,09_40 a 44,3
10,2,W01,,17_80 y más,1
22,1,E43,,16_75 a 79,1
42,1,I71, ,12_55 a 59,1
82,1,N12,,17_80 y más,3
38,1,Y19,,05_20 a 24,1
06,1,V89, ,02_1 a 9,4
02,1,C34, ,13_60 a 64,7
02,2,C56,,09_40 a 44,5
99,1,L89,,09_40 a 44,1
62,1,N18,,10_45 a 49,1
06,2,J15, ,13_60 a 64,15
06,2,G20, ,15_70 a 74,11
70,2,J98,,13_60 a 64,2
06,2,D58, ,03_10 a 14,1
58,1,C50,,11_50 a 54,1
66,1,K65,,10_45 a 49,3
90,2,Y05,,04_15 a 19,1
90,1,R57,,15_70 a 74,6
50,2,I80,,17_80 y más,8
62,2,I10,,14_65 a 69,1
58,1,W17,,02_1 a 9,1
66,1,J18,,03_10 a 14,1
26,1,C16,,14_65 a 69,4
82,2,N73,,14_65 a 69,1
50,2,E14,,15_70 a 74,18
62,1,X70,,10_45 a 49,1
66,2,X59,,10_45 a 49,1
06,2,C49,,01_Menor de 1 año,1
02,1,C61, ,16_75 a 79,3
90,1,D46,,04_15 a 19,1
99,2,R99,,15_70 a 74,1
50,2,I73,,17_80 y más,5
46,2,C34,,14_65 a 69,3
06,1,I33,,13_60 a 64,3
02,2,B23,,09_40 a 44,4
26,2,J96,,16_75 a 79,4
34,2,C20,,16_75 a 79,1
58,2,E46,,15_70 a 74,1
18,1,R99, ,13_60 a 64,1
02,2,Y83, ,17_80 y más,1
02,1,R99,,06_25 a 29,2
02,1,C71,,10_45 a 49,4
18,1,K65,,10_45 a 49,1
86,1,X70,,08_35 a 39,4
66,2,J81,,16_75 a 79,1
06,1,C73, ,08_35 a 39,1
06,1,D37, ,12_55 a 59,3
14,1,R09, ,14_65 a 69,44
82,2,I50, ,15_70 a 74,1
02,1,X95,,11_50 a 54,5
70,2,J98,,14_65 a 69,2
82,1,C81,,16_75 a 79,2
78,1,C20,,17_80 y más,1
14,2,A41, ,16_75 a 79,17
50,2,X95,,06_25 a 29,1
06,2,E14, ,05_20 a 24,3
14,2,J69, ,14_65 a 69,3
86,2,K55,,15_70 a 74,2
18,2,J98,,02_1 a 9,1
86,2,N19,,13_60 a 64,1
82,1,L08,,17_80 y más,12
50,1,C78,,17_80 y más,3
90,1,C22,,11_50 a 54,1
06,2,C72,,02_1 a 9,1
14,1,J18,,15_70 a 74,1
74,1,V23,,04_15 a 19,1
30,1,C91,,11_50 a 54,1
22,1,I12,,15_70 a 74,2
82,2,N01,,14_65 a 69,1
38,2,E14,,14_65 a 69,6
82,2,M32,,16_75 a 79,1
50,1,X95,,11_50 a 54,4
14,1,C84, ,14_65 a 69,1
54,1,E14,,07_30 a 34,2
14,2,G80, ,02_1 a 9,5
06,1,Y83,,05_20 a 24,1
30,1,K55,,14_65 a 69,2
82,1,V27,,13_60 a 64,1
38,1,K70,,06_25 a 29,1
06,2,O14,M,05_20 a 24,1
14,2,N39, ,12_55 a 59,6
58,1,C15,,15_70 a 74,2
22,2,W74,,02_1 a 9,2
82,2,V23,,06_25 a 29,1
50,2,I61,,16_75 a 79,7
06,2,I60, ,16_75 a 79,11
66,2,I67, ,17_80 y más,1
82,2,K52,,16_75 a 79,4
50,2,D48,,14_65 a 69,4
82,1,I69,,12_55 a 59,1
70,2,E14,,09_40 a 44,2
02,2,K51,,17_80 y más,1
66,2,I62,,17_80 y más,2
86,1,V68,,06_25 a 29,8
26,2,V49,,14_65 a 69,1
66,2,W15,,17_80 y más,1
18,2,K65,,15_70 a 74,4
82,2,J96,,16_75 a 79,18
54,2,X61,,12_55 a 59,1
06,2,A40,,01_Menor de 1 año,1
86,2,J18,,14_65 a 69,8
82,1,K74,,08_35 a 39,4
82,1,C47,,07_30 a 34,1
18,2,O14,M,09_40 a 44,1
02,1,C85, ,12_55 a 59,2
54,1,X59,,08_35 a 39,1
26,2,C20,,17_80 y más,1
46,1,C34,,15_70 a 74,3
06,1,C76, ,11_50 a 54,5
18,1,J96,,14_65 a 69,2
82,1,I24,,08_35 a 39,1
82,2,M06,,07_30 a 34,1
62,1,C90,,15_70 a 74,2
22,1,Y34,,01_Menor de 1 año,1
02,2,G62,,14_65 a 69,2
42,1,G20,,15_70 a 74,1
78,2,C25,,17_80 y más,2
74,2,X70,,07_30 a 34,4
82,1,K72,,16_75 a 79,5
50,2,C79,,16_75 a 79,1
18,2,P96,,01_Menor de 1 año,5
06,1,D43,,11_50 a 54,2
22,1,P22,,01_Menor de 1 año,12
90,2,N17,,13_60 a 64,5
70,2,X59,,15_70 a 74,1
66,2,C78,,16_75 a 79,1
50,1,N32,,17_80 y más,1
18,1,I49,,13_60 a 64,2
34,1,Q03,,01_Menor de 1 año,3
38,2,B20, ,12_55 a 59,1
06,2,Y09, ,08_35 a 39,3
14,2,O99,M,06_25 a 29,1
58,1,K65, ,15_70 a 74,1
02,1,I50,,15_70 a 74,101
26,2,K63,,13_60 a 64,1
